"","X","FID","Field1","Species","Method","latitude","longitude","Month","Day","Week","Year","Date","Time","source","FID_allNY1","FID_allNY_10km","duplicate"
"257",341,2027,0,"Ursus arctos","iSeeMammals",41.88594,-74.53316,7,23,29,2017,"7/23/2017","15:47:17.536Z","one-off",2555,2556,FALSE
"258",342,2030,0,"Ursus arctos","iSeeMammals",41.88607,-74.53318,7,4,26,2017,"7/4/2017","14:56:06.212Z","one-off",2555,2556,FALSE
"259",343,401,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,9,24,38,2017,"9/24/2017","03:08:55.000Z"," ",2578,2579,FALSE
"260",344,186,0,"Ursus arctos","iSeeMammals",41.18533,-74.07934,9,8,35,2018,"9/8/2018","13:54:17.274Z","one-off",2596,2597,FALSE
"261",345,2686,0,"Ursus arctos","iSeeMammals",43.14466,-74.5051,8,28,34,2017,"8/28/2017","14:24:49.000Z","one-off",2626,2627,FALSE
"262",346,467,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,8,13,2018,"4/8/2018","23:38:22.000Z"," ",2630,2631,FALSE
"263",347,837,0,"Ursus arctos","iSeeMammals",41.20786,-74.11396,9,6,35,2017,"9/6/2017","20:37:22.000Z"," ",2677,2678,FALSE
"264",348,699,0,"Ursus arctos","iSeeMammals",41.20556,-74.07427,4,17,15,2017,"4/17/2017","23:48:05.000Z","one-off",2677,2678,FALSE
"265",349,1240,0,"Ursus arctos","iSeeMammals",41.24434,-74.1501,4,26,16,2018,"4/26/2018","17:28:10.000Z","one-off",2700,2701,FALSE
"266",350,1153,0,"Ursus arctos","iSeeMammals",41.24236,-74.07673,10,3,39,2017,"10/3/2017","22:19:17.000Z","one-off",2708,2709,FALSE
"267",351,40,0,"Ursus arctos","iSeeMammals",41.16507,-74.13233,4,10,14,2018,"4/10/2018","19:57:43.000Z","one-off",2713,2714,FALSE
"268",353,1982,0,"Ursus arctos","iSeeMammals",41.82691,-74.60081,7,4,26,2017,"7/4/2017","15:58:40.866Z","one-off",2716,2717,FALSE
"269",354,1789,0,"Ursus arctos","iSeeMammals",41.59039,-74.59363,8,11,31,2017,"8/11/2017","13:13:31.271Z","one-off",2733,2734,FALSE
"270",355,2264,0,"Ursus arctos","iSeeMammals",42.17408,-78.48015,10,22,42,2017,"10/22/2017","20:25:00.000Z","one-off",2737,2738,FALSE
"271",356,460,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,1,12,2018,"4/1/2018","00:49:27.000Z","one-off",2809,2810,FALSE
"272",357,1315,0,"Ursus arctos","iSeeMammals",41.25692,-74.12264,10,14,40,2017,"10/14/2017","13:19:45.000Z"," ",2896,2897,FALSE
"273",359,1675,0,"Ursus arctos","iSeeMammals",41.33134,-74.06852,5,6,17,2018,"5/6/2018","08:44:52.000Z","one-off",2897,2898,FALSE
"274",360,452,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,2,13,2018,"4/2/2018","02:19:45.000Z","one-off",2905,2906,FALSE
"275",362,454,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,1,12,2018,"4/1/2018","00:47:34.000Z","one-off",2905,2906,FALSE
"276",363,611,0,"Ursus arctos","iSeeMammals",41.20028,-74.08154,5,8,18,2017,"5/8/2017","17:48:20.911Z","one-off",2907,2908,FALSE
"277",364,961,0,"Ursus arctos","iSeeMammals",41.21847,-74.11223,6,30,25,2018,"6/30/2018","13:26:05.167Z","one-off",2907,2908,FALSE
"278",365,1144,0,"Ursus arctos","iSeeMammals",41.24203,-74.07906,6,17,23,2018,"6/17/2018","15:40:15.772Z","one-off",2907,2908,FALSE
"279",366,774,0,"Ursus arctos","iSeeMammals",41.20646,-74.16344,7,8,26,2018,"7/8/2018","16:14:39.416Z","one-off",2907,2908,FALSE
"280",368,1099,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,7,39,2017,"10/7/2017","22:38:22.000Z"," ",2911,2912,FALSE
"281",369,2627,0,"Ursus arctos","iSeeMammals",42.69565,-78.98365,9,11,36,2017,"9/11/2017","14:22:00.000Z"," ",2913,2914,FALSE
"282",370,628,0,"Ursus arctos","iSeeMammals",41.20456,-74.11167,6,8,22,2017,"6/8/2017","08:27:35.000Z"," ",2952,2953,FALSE
"283",371,615,0,"Ursus arctos","iSeeMammals",41.20042,-74.17953,4,8,13,2018,"4/8/2018","14:19:52.000Z"," ",2952,2953,FALSE
"284",372,1173,0,"Ursus arctos","iSeeMammals",41.24236,-74.07673,9,23,37,2018,"9/23/2018","17:49:07.000Z","one-off",3007,3008,FALSE
"285",373,1517,0,"Ursus arctos","iSeeMammals",41.2877,-74.07795,4,5,13,2018,"4/5/2018","22:57:17.000Z"," ",3076,3077,FALSE
"286",374,1015,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,9,20,37,2017,"9/20/2017","23:37:39.000Z","one-off",3087,3088,FALSE
"287",377,1237,0,"Ursus arctos","iSeeMammals",41.24434,-74.1501,4,21,15,2018,"4/21/2018","11:06:40.000Z","one-off",3114,3115,FALSE
"288",378,1369,0,"Ursus arctos","iSeeMammals",41.26446,-74.10684,6,2,21,2018,"6/2/2018","15:02:20.000Z","one-off",3116,3117,FALSE
"289",379,1370,0,"Ursus arctos","iSeeMammals",41.26446,-74.10684,6,4,22,2018,"6/4/2018","12:24:44.000Z","one-off",3116,3117,FALSE
"290",380,525,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,5,1,17,2018,"5/1/2018","01:34:34.000Z","one-off",3142,3143,FALSE
"291",382,533,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,5,7,18,2018,"5/7/2018","12:47:51.000Z","one-off",3142,3143,FALSE
"292",383,1110,0,"Ursus arctos","iSeeMammals",41.22838,-74.09261,10,1,39,2018,"10/1/2018","13:59:30.000Z"," ",3155,3156,FALSE
"293",384,702,0,"Ursus arctos","iSeeMammals",41.20556,-74.07427,4,18,15,2017,"4/18/2017","18:29:31.000Z"," ",3166,3167,FALSE
"294",385,739,0,"Ursus arctos","iSeeMammals",41.20596,-74.07096,8,9,31,2017,"8/9/2017","13:57:06.000Z"," ",3166,3167,FALSE
"295",386,823,0,"Ursus arctos","iSeeMammals",41.20786,-74.11396,8,24,33,2017,"8/24/2017","00:17:47.000Z"," ",3166,3167,FALSE
"296",387,769,0,"Ursus arctos","iSeeMammals",41.20596,-74.07096,9,17,37,2017,"9/17/2017","19:21:46.000Z"," ",3166,3167,FALSE
"297",389,772,0,"Ursus arctos","iSeeMammals",41.20596,-74.07096,9,26,38,2017,"9/26/2017","11:38:16.000Z"," ",3166,3167,FALSE
"298",390,703,0,"Ursus arctos","iSeeMammals",41.20556,-74.07427,5,3,17,2018,"5/3/2018","22:33:58.000Z"," ",3166,3167,FALSE
"299",391,1345,0,"Ursus arctos","iSeeMammals",41.26116,-74.00773,8,15,32,2017,"8/15/2017","12:11:16.678Z"," ",3201,3202,FALSE
"300",392,1612,0,"Ursus arctos","iSeeMammals",41.30069,-74.0464,6,3,21,2017,"6/3/2017","21:40:47.000Z","one-off",3280,3281,FALSE
"301",393,1614,0,"Ursus arctos","iSeeMammals",41.30069,-74.0464,6,4,22,2017,"6/4/2017","00:07:09.000Z","one-off",3280,3281,FALSE
"302",394,1667,0,"Ursus arctos","iSeeMammals",41.33134,-74.06852,5,5,17,2018,"5/5/2018","23:42:33.000Z","one-off",3280,3281,FALSE
"303",395,1430,0,"Ursus arctos","iSeeMammals",41.26716,-74.11082,5,28,21,2018,"5/28/2018","15:06:59.313Z","one-off",3342,3343,FALSE
"304",396,2825,0,"Ursus arctos","iSeeMammals",44.60305,-74.92599,10,27,42,2018,"10/27/2018","15:30:55.908Z","one-off",3371,3372,FALSE
"305",397,2074,0,"Ursus arctos","iSeeMammals",41.96067,-74.67656,3,21,11,2018,"3/21/2018","18:54:07.346Z"," ",3380,3381,FALSE
"306",398,2204,0,"Ursus arctos","iSeeMammals",42.10961,-78.19083,9,24,38,2017,"9/24/2017","10:50:20.000Z"," ",3409,3410,FALSE
"307",399,536,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,5,9,18,2018,"5/9/2018","06:18:32.000Z"," ",3510,3511,FALSE
"308",400,1646,0,"Ursus arctos","iSeeMammals",41.3111,-74.03109,10,2,39,2018,"10/2/2018","12:03:04.000Z"," ",3550,3551,FALSE
"309",401,1669,0,"Ursus arctos","iSeeMammals",41.33134,-74.06852,5,5,17,2018,"5/5/2018","23:42:26.000Z","one-off",3550,3551,FALSE
"310",402,1249,0,"Ursus arctos","iSeeMammals",41.24739,-73.57661,4,12,14,2017,"4/12/2017","23:33:45.000Z"," ",3554,3555,FALSE
"311",403,1302,0,"Ursus arctos","iSeeMammals",41.25692,-74.12264,8,29,34,2017,"8/29/2017","10:37:33.000Z","one-off",3554,3555,FALSE
"312",404,1275,0,"Ursus arctos","iSeeMammals",41.25691,-74.08201,9,9,35,2017,"9/9/2017","07:54:02.000Z","one-off",3554,3555,FALSE
"313",405,1283,0,"Ursus arctos","iSeeMammals",41.25691,-74.08201,9,17,37,2017,"9/17/2017","11:38:07.000Z","one-off",3554,3555,FALSE
"314",406,1308,0,"Ursus arctos","iSeeMammals",41.25692,-74.12264,9,11,36,2017,"9/11/2017","21:10:54.000Z","one-off",3554,3555,FALSE
"315",408,2463,0,"Ursus arctos","iSeeMammals",42.37427,-77.85178,5,29,21,2017,"5/29/2017","15:02:02.000Z","one-off",3565,3566,FALSE
"316",409,1007,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,9,20,37,2017,"9/20/2017","23:34:46.000Z","one-off",3573,3574,FALSE
"317",410,1226,0,"Ursus arctos","iSeeMammals",41.24434,-74.1501,2,15,6,2018,"2/15/2018","22:32:57.000Z"," ",3586,3587,FALSE
"318",412,2385,0,"Ursus arctos","iSeeMammals",42.27832,-76.65446,8,14,32,2018,"8/14/2018","00:46:51.000Z","one-off",3594,3595,FALSE
"319",413,1311,0,"Ursus arctos","iSeeMammals",41.25692,-74.12264,9,20,37,2017,"9/20/2017","11:29:44.000Z"," ",3699,3700,FALSE
"320",414,1077,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,2,39,2017,"10/2/2017","20:29:24.000Z"," ",3730,3731,FALSE
"321",416,1067,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,1,39,2017,"10/1/2017","23:01:07.000Z","one-off",3762,3763,FALSE
"322",417,409,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,3,27,12,2018,"3/27/2018","06:28:02.000Z"," ",3763,3764,FALSE
"323",419,285,0,"Ursus arctos","iSeeMammals",41.18647,-74.10286,9,20,37,2017,"9/20/2017","22:13:13.000Z"," ",3824,3825,FALSE
"324",420,1343,0,"Ursus arctos","iSeeMammals",41.25694,-74.12256,9,2,34,2017,"9/2/2017","19:56:33.000Z","one-off",3829,3830,FALSE
"325",421,1520,0,"Ursus arctos","iSeeMammals",41.2877,-74.07795,4,5,13,2018,"4/5/2018","22:59:15.000Z"," ",3853,3854,FALSE
"326",422,1287,0,"Ursus arctos","iSeeMammals",41.25692,-74.12264,6,12,23,2017,"6/12/2017","23:34:17.000Z","one-off",3864,3865,FALSE
"327",423,1299,0,"Ursus arctos","iSeeMammals",41.25692,-74.12264,8,29,34,2017,"8/29/2017","10:33:27.000Z","one-off",3864,3865,FALSE
"328",424,1243,0,"Ursus arctos","iSeeMammals",41.24434,-74.1501,5,2,17,2018,"5/2/2018","20:26:51.000Z","one-off",3864,3865,FALSE
"329",425,1258,0,"Ursus arctos","iSeeMammals",41.25161,-74.06776,5,11,18,2018,"5/11/2018","11:30:27.000Z","one-off",3864,3865,FALSE
"330",426,2236,0,"Ursus arctos","iSeeMammals",42.1422,-77.06593,6,25,25,2017,"6/25/2017","14:08:47.429Z"," ",3915,3916,FALSE
"331",427,2237,0,"Ursus arctos","iSeeMammals",42.14229,-77.06605,5,25,20,2018,"5/25/2018","01:44:54.000Z","one-off",3915,3916,FALSE
"332",428,2130,0,"Ursus arctos","iSeeMammals",42.03342,-75.84943,6,11,23,2018,"6/11/2018","19:03:30.000Z","one-off",3915,3916,FALSE
"333",429,631,0,"Ursus arctos","iSeeMammals",41.20456,-74.11167,6,8,22,2017,"6/8/2017","08:27:31.000Z"," ",3923,3924,FALSE
"334",430,210,0,"Ursus arctos","iSeeMammals",41.18604,-74.09248,6,17,23,2017,"6/17/2017","14:24:13.000Z"," ",3937,3938,FALSE
"335",431,1030,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,9,25,38,2017,"9/25/2017","21:33:32.000Z"," ",3980,3981,FALSE
"336",432,407,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,3,26,12,2018,"3/26/2018","04:59:34.000Z","one-off",4000,4001,FALSE
"337",433,1062,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,1,39,2017,"10/1/2017","22:58:05.000Z","hike",4019,4020,FALSE
"338",435,1671,0,"Ursus arctos","iSeeMammals",41.33134,-74.06852,5,5,17,2018,"5/5/2018","23:43:22.000Z","one-off",4038,4039,FALSE
"339",436,439,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,2,13,2018,"4/2/2018","02:19:47.000Z"," ",4063,4064,FALSE
"340",437,1368,0,"Ursus arctos","iSeeMammals",41.26446,-74.10684,6,2,21,2018,"6/2/2018","15:02:17.000Z"," ",4179,4180,FALSE
"341",438,449,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,1,12,2018,"4/1/2018","00:50:04.000Z","one-off",4223,4224,FALSE
"342",439,1518,0,"Ursus arctos","iSeeMammals",41.2877,-74.07795,4,5,13,2018,"4/5/2018","22:58:47.000Z","one-off",4325,4326,FALSE
"343",441,496,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,5,2,17,2018,"5/2/2018","03:40:03.000Z","one-off",4334,4335,FALSE
"344",442,1104,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,10,40,2017,"10/10/2017","19:00:16.000Z"," ",4366,4367,FALSE
"345",444,773,0,"Ursus arctos","iSeeMammals",41.20596,-74.07096,9,17,37,2017,"9/17/2017","19:21:31.000Z","one-off",4381,4382,FALSE
"346",445,1498,0,"Ursus arctos","iSeeMammals",41.2876,-74.0765,6,8,22,2017,"6/8/2017","10:19:41.000Z"," ",4459,4460,FALSE
"347",446,1478,0,"Ursus arctos","iSeeMammals",41.27292,-74.04458,8,4,30,2018,"8/4/2018","18:45:00.000Z"," ",4459,4460,FALSE
"348",447,1514,0,"Ursus arctos","iSeeMammals",41.2877,-74.07795,4,5,13,2018,"4/5/2018","22:56:37.000Z","one-off",4459,4460,FALSE
"349",448,299,0,"Ursus arctos","iSeeMammals",41.1882,-74.17827,9,2,34,2017,"9/2/2017","16:20:11.533Z","one-off",4463,4464,FALSE
"350",449,1943,0,"Ursus arctos","iSeeMammals",41.80783,-74.41441,10,28,42,2017,"10/28/2017","00:23:42.626Z","one-off",4474,4475,FALSE
"351",450,1108,0,"Ursus arctos","iSeeMammals",41.22838,-74.09261,9,28,38,2018,"9/28/2018","11:56:10.000Z","one-off",4507,4508,FALSE
"353",452,610,0,"Ursus arctos","iSeeMammals",41.2001,-74.08186,7,9,27,2017,"7/9/2017","15:15:55.496Z","one-off",4579,4580,FALSE
"354",453,841,0,"Ursus arctos","iSeeMammals",41.20786,-74.11396,9,8,35,2017,"9/8/2017","20:05:21.000Z","one-off",4585,4586,FALSE
"355",454,1109,0,"Ursus arctos","iSeeMammals",41.22838,-74.09261,10,1,39,2018,"10/1/2018","13:44:49.000Z","one-off",4586,4587,FALSE
"356",455,419,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,1,12,2018,"4/1/2018","00:47:34.000Z"," ",4615,4616,FALSE
"357",456,608,0,"Ursus arctos","iSeeMammals",41.19104,-74.17374,7,23,29,2017,"7/23/2017","17:41:53.342Z"," ",4665,4666,FALSE
"358",457,1190,0,"Ursus arctos","iSeeMammals",41.24276,-74.07594,10,3,39,2017,"10/3/2017","22:17:21.000Z","one-off",4666,4667,FALSE
"359",458,1161,0,"Ursus arctos","iSeeMammals",41.24236,-74.07673,5,24,20,2018,"5/24/2018","01:46:45.000Z","one-off",4669,4670,FALSE
"360",463,446,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,1,12,2018,"4/1/2018","00:49:27.000Z","one-off",4701,4702,FALSE
"361",464,2543,0,"Ursus arctos","iSeeMammals",42.54038,-77.61503,8,12,31,2018,"8/12/2018","22:40:38.000Z"," ",4744,4745,FALSE
"362",465,1966,0,"Ursus arctos","iSeeMammals",41.8091,-74.41229,8,2,30,2018,"8/2/2018","22:48:54.377Z","one-off",4781,4782,FALSE
"363",466,1445,0,"Ursus arctos","iSeeMammals",41.26946,-74.10405,6,10,22,2018,"6/10/2018","22:17:21.000Z","one-off",4792,4793,FALSE
"364",468,1447,0,"Ursus arctos","iSeeMammals",41.26946,-74.10405,6,13,23,2018,"6/13/2018","19:16:43.000Z","one-off",4792,4793,FALSE
"365",469,1314,0,"Ursus arctos","iSeeMammals",41.25692,-74.12264,9,21,37,2017,"9/21/2017","21:56:41.000Z"," ",4807,4808,FALSE
"366",470,510,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,5,11,18,2018,"5/11/2018","09:47:48.000Z","one-off",4867,4868,FALSE
"367",471,504,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,5,10,18,2018,"5/10/2018","01:04:38.000Z"," ",4876,4877,FALSE
"369",474,461,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,1,12,2018,"4/1/2018","00:50:04.000Z","one-off",4917,4918,FALSE
"370",475,464,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,2,13,2018,"4/2/2018","02:19:46.000Z","one-off",4917,4918,FALSE
"371",476,405,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,3,26,12,2018,"3/26/2018","04:59:33.000Z","one-off",4961,4962,FALSE
"372",477,118,0,"Ursus arctos","iSeeMammals",41.17475,-74.10774,9,18,37,2017,"9/18/2017","11:50:14.000Z","one-off",4962,4963,FALSE
"373",479,1318,0,"Ursus arctos","iSeeMammals",41.25692,-74.12264,10,14,40,2017,"10/14/2017","13:19:42.000Z","one-off",4976,4977,FALSE
"374",480,869,0,"Ursus arctos","iSeeMammals",41.20786,-74.11396,9,20,37,2017,"9/20/2017","22:49:38.000Z"," ",4985,4986,FALSE
"375",481,115,0,"Ursus arctos","iSeeMammals",41.17464,-74.10807,5,12,18,2017,"5/12/2017","20:25:59.000Z","one-off",4999,5000,FALSE
"376",482,1339,0,"Ursus arctos","iSeeMammals",41.25694,-74.12256,9,2,34,2017,"9/2/2017","19:55:55.000Z"," ",5050,5051,FALSE
"377",483,596,0,"Ursus arctos","iSeeMammals",41.18998,-74.08103,11,16,45,2018,"11/16/2018","17:41:05.000Z","one-off",5066,5067,FALSE
"378",484,1973,0,"Ursus arctos","iSeeMammals",41.81044,-74.40838,5,28,21,2017,"5/28/2017","21:30:07.992Z"," ",5067,5068,FALSE
"379",485,1065,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,1,39,2017,"10/1/2017","23:00:49.000Z","one-off",5151,5152,FALSE
"380",488,1673,0,"Ursus arctos","iSeeMammals",41.33134,-74.06852,5,6,17,2018,"5/6/2018","00:09:10.000Z"," ",5269,5270,FALSE
"381",489,1221,0,"Ursus arctos","iSeeMammals",41.24434,-74.1501,2,15,6,2018,"2/15/2018","22:33:31.000Z"," ",5297,5298,FALSE
"382",490,1188,0,"Ursus arctos","iSeeMammals",41.24276,-74.07594,10,3,39,2017,"10/3/2017","22:17:23.000Z","one-off",5297,5298,FALSE
"383",491,1235,0,"Ursus arctos","iSeeMammals",41.24434,-74.1501,4,21,15,2018,"4/21/2018","11:08:27.000Z","one-off",5297,5298,FALSE
"384",492,1022,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,9,20,37,2017,"9/20/2017","23:38:22.000Z"," ",5299,5300,FALSE
"385",494,2080,0,"Ursus arctos","iSeeMammals",41.96541,-73.77787,11,10,44,2017,"11/10/2017","00:11:33.000Z"," ",5305,5306,FALSE
"387",496,1895,0,"Ursus arctos","iSeeMammals",41.80361,-74.40775,8,31,34,2018,"8/31/2018","23:39:38.452Z","one-off",5305,5306,FALSE
"388",497,632,0,"Ursus arctos","iSeeMammals",41.20456,-74.11167,6,10,22,2017,"6/10/2017","13:57:07.000Z","one-off",5322,5323,FALSE
"391",500,1229,0,"Ursus arctos","iSeeMammals",41.24434,-74.1501,2,15,6,2018,"2/15/2018","22:37:16.000Z","one-off",5456,5457,FALSE
"392",501,1508,0,"Ursus arctos","iSeeMammals",41.2877,-74.07795,4,5,13,2018,"4/5/2018","22:56:20.000Z","one-off",5459,5460,FALSE
"393",502,1967,0,"Ursus arctos","iSeeMammals",41.80917,-74.41485,9,25,38,2017,"9/25/2017","23:59:04.578Z"," ",5471,5472,FALSE
"394",503,2337,0,"Ursus arctos","iSeeMammals",42.22017,-74.12129,5,26,20,2018,"5/26/2018","12:09:19.010Z"," ",5473,5474,FALSE
"397",506,2421,0,"Ursus arctos","iSeeMammals",42.32879,-74.33519,6,26,25,2016,"6/26/2016","12:42:24.000Z","one-off",5473,5474,FALSE
"398",507,1146,0,"Ursus arctos","iSeeMammals",41.24236,-74.07673,10,3,39,2017,"10/3/2017","22:19:42.000Z","one-off",5493,5494,FALSE
"399",512,1117,0,"Ursus arctos","iSeeMammals",41.22863,-74.09004,5,30,21,2018,"5/30/2018","16:35:24.000Z","one-off",5493,5494,FALSE
"400",513,1122,0,"Ursus arctos","iSeeMammals",41.23422,-74.08643,9,24,38,2018,"9/24/2018","21:59:40.000Z","one-off",5493,5494,FALSE
"401",514,1115,0,"Ursus arctos","iSeeMammals",41.22838,-74.09261,10,4,39,2018,"10/4/2018","16:02:03.000Z","one-off",5493,5494,FALSE
"402",516,1032,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,9,26,38,2017,"9/26/2017","19:14:59.000Z","one-off",5521,5522,FALSE
"403",525,2266,0,"Ursus arctos","iSeeMammals",42.17433,-78.47961,8,10,31,2017,"8/10/2017","12:54:15.689Z","one-off",5550,5551,FALSE
"404",526,1155,0,"Ursus arctos","iSeeMammals",41.24236,-74.07673,10,3,39,2017,"10/3/2017","22:19:42.000Z","one-off",5552,5553,FALSE
"405",527,84,0,"Ursus arctos","iSeeMammals",41.17404,-74.18119,5,20,19,2017,"5/20/2017","13:54:49.358Z","one-off",5570,5571,FALSE
"406",528,1823,0,"Ursus arctos","iSeeMammals",41.68112,-74.61818,8,23,33,2017,"8/23/2017","23:15:42.404Z"," ",5573,5574,FALSE
"407",529,101,0,"Ursus arctos","iSeeMammals",41.17464,-74.10807,4,30,17,2017,"4/30/2017","23:21:22.000Z"," ",5707,5708,FALSE
"408",530,2546,0,"Ursus arctos","iSeeMammals",42.54815,-73.99171,10,5,39,2017,"10/5/2017","15:00:00.000Z","one-off",5709,5710,FALSE
"409",531,1355,0,"Ursus arctos","iSeeMammals",41.26446,-74.10684,5,22,20,2018,"5/22/2018","22:47:48.000Z","camera",5734,5735,FALSE
"410",535,1327,0,"Ursus arctos","iSeeMammals",41.25694,-74.12256,8,20,33,2017,"8/20/2017","01:40:50.000Z","one-off",5749,5750,FALSE
"411",538,1337,0,"Ursus arctos","iSeeMammals",41.25694,-74.12256,9,2,34,2017,"9/2/2017","19:55:50.000Z","one-off",5749,5750,FALSE
"412",539,1861,0,"Ursus arctos","iSeeMammals",41.76931,-74.30748,2,12,6,2018,"2/12/2018","20:08:41.995Z"," ",5756,5757,FALSE
"413",540,1668,0,"Ursus arctos","iSeeMammals",41.33134,-74.06852,5,5,17,2018,"5/5/2018","23:42:29.000Z","one-off",5758,5759,FALSE
"414",541,666,0,"Ursus arctos","iSeeMammals",41.20556,-74.07427,4,26,16,2017,"4/26/2017","21:18:00.000Z","camera",5790,5791,FALSE
"415",543,668,0,"Ursus arctos","iSeeMammals",41.20556,-74.07427,4,16,15,2017,"4/16/2017","21:23:00.000Z","camera",5790,5791,FALSE
"416",547,681,0,"Ursus arctos","iSeeMammals",41.20556,-74.07427,4,30,17,2017,"4/30/2017","11:21:00.000Z","camera",5790,5791,FALSE
"417",553,623,0,"Ursus arctos","iSeeMammals",41.20456,-74.11167,5,19,19,2017,"5/19/2017","11:10:00.000Z","camera",5790,5791,FALSE
"418",565,1538,0,"Ursus arctos","iSeeMammals",41.29126,-74.07575,5,24,20,2017,"5/24/2017","14:50:00.000Z","camera",5790,5791,FALSE
"419",566,633,0,"Ursus arctos","iSeeMammals",41.20456,-74.11167,6,14,23,2017,"6/14/2017","20:22:00.000Z","camera",5790,5791,FALSE
"420",567,634,0,"Ursus arctos","iSeeMammals",41.20456,-74.11167,6,18,24,2017,"6/18/2017","14:11:00.000Z","camera",5790,5791,FALSE
"421",573,642,0,"Ursus arctos","iSeeMammals",41.20456,-74.11167,6,26,25,2017,"6/26/2017","12:39:00.000Z","camera",5790,5791,FALSE
"422",575,1490,0,"Ursus arctos","iSeeMammals",41.2876,-74.0765,6,8,22,2017,"6/8/2017","01:53:00.000Z","camera",5790,5791,FALSE
"423",595,1613,0,"Ursus arctos","iSeeMammals",41.30069,-74.0464,6,3,21,2017,"6/3/2017","21:39:00.000Z","camera",5790,5791,FALSE
"424",611,645,0,"Ursus arctos","iSeeMammals",41.20456,-74.11167,7,4,26,2017,"7/4/2017","02:29:00.000Z","camera",5790,5791,FALSE
"425",612,646,0,"Ursus arctos","iSeeMammals",41.20456,-74.11167,7,10,27,2017,"7/10/2017","12:35:00.000Z","camera",5790,5791,FALSE
"426",616,651,0,"Ursus arctos","iSeeMammals",41.20456,-74.11167,7,29,29,2017,"7/29/2017","17:33:00.000Z","camera",5790,5791,FALSE
"427",618,653,0,"Ursus arctos","iSeeMammals",41.20456,-74.11167,7,16,28,2017,"7/16/2017","23:53:00.000Z","camera",5790,5791,FALSE
"428",624,659,0,"Ursus arctos","iSeeMammals",41.20456,-74.11167,7,30,30,2017,"7/30/2017","13:59:00.000Z","camera",5790,5791,FALSE
"429",662,600,0,"Ursus arctos","iSeeMammals",41.19084,-74.17364,8,12,31,2017,"8/12/2017","17:18:00.000Z","camera",5790,5791,FALSE
"430",667,662,0,"Ursus arctos","iSeeMammals",41.20456,-74.11167,8,16,32,2017,"8/16/2017","17:42:00.000Z","camera",5790,5791,FALSE
"431",688,1489,0,"Ursus arctos","iSeeMammals",41.28652,-73.998,9,16,36,2017,"9/16/2017","17:00:00.000Z","camera",5790,5791,FALSE
"432",689,1479,0,"Ursus arctos","iSeeMammals",41.27621,-74.08704,10,14,40,2017,"10/14/2017","05:00:00.000Z","camera",5790,5791,FALSE
"433",690,1663,0,"Ursus arctos","iSeeMammals",41.33112,-73.98238,10,28,42,2017,"10/28/2017","18:45:00.000Z","camera",5790,5791,FALSE
"434",691,565,0,"Ursus arctos","iSeeMammals",41.18948,-74.10829,11,4,43,2017,"11/4/2017","23:28:00.000Z","camera",5790,5791,FALSE
"435",693,567,0,"Ursus arctos","iSeeMammals",41.18948,-74.10829,11,7,44,2017,"11/7/2017","14:15:00.000Z","camera",5790,5791,FALSE
"436",702,576,0,"Ursus arctos","iSeeMammals",41.18948,-74.10829,11,12,45,2017,"11/12/2017","16:33:00.000Z","camera",5790,5791,FALSE
"437",703,577,0,"Ursus arctos","iSeeMammals",41.18948,-74.10829,11,24,46,2017,"11/24/2017","22:46:00.000Z","camera",5790,5791,FALSE
"438",704,1635,0,"Ursus arctos","iSeeMammals",41.30275,-74.33812,6,11,23,2018,"6/11/2018","23:23:20.000Z","camera",5790,5791,FALSE
"439",705,1661,0,"Ursus arctos","iSeeMammals",41.32826,-74.08402,6,20,24,2018,"6/20/2018","22:40:00.000Z","camera",5790,5791,FALSE
